1418,14-18,14-18,Cette collection inclut tous les quotidiens du corpus 14-18,This collection includes all the newspapers of the 14-18 dataset,https://gallica.bnf.fr,https://gallica.bnf.fr/ark:/12148/bpt6k46000007/thumbnail,1910,1920
cb326819451,"L'Action française"
cb32747578p,"Le Constitutionnel"
"cb343631418","La Croix"
"cb34429768r","L'Echo de Paris"
"cb32771891w","L'Excelsior"
"cb34355551z","Le Figaro"
"cb32779904b","Le Gaulois"
"cb327877302","L'Humanité"
"cb39294634r","Journal des débats politiques et littéraires"
"cb327844744","La Guerre mondiale"
"cb328123058","Le Matin"
"cb34429265b","L'Oeuvre"
"cb32830550k","L'Ouest Eclair (Rennes)"
"cb32836564q","Le Petit journal"
"cb34419111x","Le Petit Parisien"
"cb32868136g","Le Siècle"
